location,stringency_index,population_density,median_age,aged_65_and_older,aged_70_and_older,gdp_per_capita,extreme_poverty,cardiovascular_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Brazil,67.4780758807586,25.04000000000009,33.5,8.552000000000024,5.0599999999999605,14103.451999999941,3.4000000000000057,177.9610000000011,8.110000000000014,,2.2000000000000126,75.88000000000024,0.7649999999999927
Brunei,42.21008287292833,81.34700000000062,32.399999999999785,4.590999999999963,2.381999999999981,71809.25099999947,,201.28500000000187,12.789999999999969,,2.700000000000018,75.86000000000037,0.838
Bulgaria,49.259287671232975,65.18000000000023,44.7000000000003,20.801000000000155,13.271999999999954,18563.307000000026,1.5,424.6879999999972,5.809999999999959,,7.454000000000019,75.04999999999953,0.8159999999999981
Burkina Faso,39.81759103641438,70.15100000000052,17.600000000000094,2.4089999999999936,1.3580000000000034,1703.102000000001,43.70000000000029,269.0479999999991,2.4199999999999857,11.876999999999988,0.40000000000000274,61.580000000000425,0.45199999999999874
Burundi,14.756111111111112,423.0620000000027,17.5,2.56200000000001,1.504000000000008,702.225000000004,71.70000000000044,293.06799999999936,6.049999999999972,6.143999999999997,0.8000000000000052,61.58000000000035,0.4330000000000019
Cambodia,42.22437346437351,90.67199999999931,25.600000000000193,4.412000000000022,2.3849999999999927,3645.070000000004,,270.89200000000284,4.0,66.22899999999959,0.800000000000006,69.81999999999977,0.5939999999999959
Cameroon,47.62951086956524,50.884999999999955,18.800000000000118,3.164999999999983,1.9189999999999907,3364.925999999983,23.800000000000068,244.660999999998,7.199999999999982,2.735000000000012,1.3000000000000078,59.29000000000053,0.5629999999999965
Canada,61.03816176470579,4.037000000000021,41.39999999999981,16.984000000000123,10.79699999999999,44017.59099999988,0.5,105.5989999999999,7.36999999999993,,2.5,82.43000000000023,0.9289999999999925
Cape Verde,69.95294617563728,135.58000000000112,25.69999999999996,4.460000000000021,3.4369999999999914,6222.554000000003,,182.2189999999988,2.4199999999999866,,2.1000000000000134,72.97999999999963,0.6649999999999978
Cayman Islands,,256.4959999999996,,,,49903.02900000006,,,13.220000000000018,,,83.92000000000004,
Central African Republic,44.28667597765365,7.478999999999978,18.300000000000118,3.6549999999999785,2.250999999999985,661.239999999997,,435.72700000000157,6.09999999999996,16.60300000000005,1.0,53.28000000000007,0.397000000000001
Chad,64.9174366197181,11.833000000000046,16.699999999999893,2.4859999999999918,1.4460000000000124,1768.1530000000034,38.399999999999764,280.99499999999915,6.09999999999996,5.817999999999989,,54.24000000000008,0.3979999999999985
Chile,74.31973684210479,24.282000000000004,35.399999999999764,11.087000000000005,6.938000000000059,22767.036999999804,1.300000000000008,127.99300000000035,8.46000000000003,,2.1100000000000114,80.18000000000025,0.8509999999999992
China,72.64592233009715,147.67399999999944,38.700000000000294,10.641000000000021,5.929000000000042,15308.712000000054,0.6999999999999945,261.89900000000137,9.739999999999897,,4.3399999999999705,76.90999999999987,0.7610000000000021
Colombia,76.11972752043613,44.22299999999996,32.20000000000014,7.646000000000029,4.31199999999997,13254.94900000002,4.5,124.23999999999991,7.440000000000044,65.38599999999975,1.7099999999999997,77.29000000000062,0.7669999999999971
Comoros,,437.3519999999998,20.399999999999906,2.9629999999999894,1.7259999999999995,1413.8900000000096,18.100000000000055,261.51600000000184,11.880000000000077,15.573999999999975,2.200000000000006,64.31999999999978,0.5540000000000015
Congo,60.526239554317655,15.404999999999998,19.0,3.402000000000021,2.062999999999991,4881.405999999974,37.0,344.0939999999981,7.199999999999987,47.96399999999995,,64.56999999999977,0.574000000000004
Costa Rica,64.17317934782618,96.07900000000046,33.60000000000022,9.467999999999954,5.693999999999971,15524.99500000009,1.3000000000000078,137.9729999999999,8.780000000000058,83.84100000000029,1.1299999999999963,80.27999999999965,0.8100000000000019
Cote d'Ivoire,42.426942148760446,76.39900000000038,18.699999999999882,2.9329999999999945,1.5819999999999945,3601.0060000000294,28.200000000000045,303.74000000000177,2.4199999999999857,19.350999999999903,,57.779999999999966,0.5380000000000023
Croatia,48.68899204244054,73.72599999999962,44.0,19.72400000000011,13.052999999999955,22669.797000000082,0.6999999999999951,253.78200000000166,5.5899999999999705,,5.539999999999975,78.49000000000062,0.8509999999999992
Cuba,74.0227272727275,110.40800000000027,43.10000000000025,14.738000000000019,9.719000000000042,,,190.96800000000025,8.269999999999984,85.19800000000026,5.200000000000031,78.79999999999953,0.7829999999999963
