Location,Cases - cumulative total,Deaths - cumulative total,Transmission Classification,Population (2020)
Syrian Arab Republic,16117,1074,Community transmission,4032294.0
Gabon,16015,91,Community transmission,3987805.0
Cabo Verde,15826,154,Community transmission,3554797.0
Réunion,13801,71,Community transmission,3475842.0
Tajikistan,13714,91,Pending,3277152.0
Haiti,12594,251,Community transmission,3287242.0
Belize,12335,315,Community transmission,2964219.0
Burkina Faso,12187,143,Community transmission,2963429.0
Andorra,11089,112,Community transmission,2889284.0
Lesotho,10523,308,Community transmission,2877239.0
Guadeloupe,10458,168,Community transmission,2846860.0
Congo,9329,131,Community transmission,2715340.0
Suriname,8980,175,Clusters of cases,2548663.0
South Sudan,8870,102,Community transmission,2427782.0
Guyana,8814,203,Clusters of cases,2359585.0
Mali,8710,358,Community transmission,2234448.0
Bahamas,8642,185,Clusters of cases,2145194.0
Somalia,8577,319,Community transmission,2083359.0
Aruba,8127,77,Community transmission,2078989.0
Trinidad and Tobago,7736,140,Community transmission,1975718.0
Togo,7680,92,Community transmission,1882408.0
Guam,7543,133,Clusters of cases,1711057.0
Martinique,6886,47,Community transmission,1410419.0
Benin,6504,81,Community transmission,1400283.0
Equatorial Guinea,6371,96,Community transmission,1326693.0
Djibouti,6181,63,Community transmission,1322667.0
Iceland,6067,29,Community transmission,1272140.0
Nicaragua,5216,175,Community transmission,1208886.0
Central African Republic,5021,63,Community transmission,1162233.0
Niger,4829,177,Community transmission,990447.0
Curaçao,4813,22,Community transmission,897573.0
Gambia,4759,152,Community transmission,896422.0
Gibraltar,4249,93,Clusters of cases,872695.0
Chad,4214,144,Community transmission,787215.0
San Marino,3984,77,Community transmission,773069.0
Sierra Leone,3922,79,Community transmission,689671.0
Saint Lucia,3902,46,Community transmission,650846.0
Comoros,3611,146,Community transmission,628080.0
Mongolia,3372,3,Clusters of cases,627704.0
Barbados,3333,37,Community transmission,599769.0
Guinea-Bissau,3319,49,Community transmission,587541.0
Jersey,3220,69,Community transmission,557026.0
Seychelles,2989,14,Community transmission,542151.0
Eritrea,2944,7,Community transmission,441750.0
United States Virgin Islands,2744,25,Community transmission,438202.0
Liechtenstein,2670,53,Sporadic cases,400136.0
Yemen,2590,655,Community transmission,398845.0
Viet Nam,2526,35,Clusters of cases,393893.0
Burundi,2369,3,Community transmission,375213.0
Turks and Caicos Islands,2177,15,Clusters of cases,341628.0
Sint Maarten,2074,27,Community transmission,308337.0
New Zealand,2054,26,Clusters of cases,299958.0
Monaco,2048,26,Sporadic cases,287437.0
Liberia,2024,85,Community transmission,285972.0
Sao Tome and Principe,1977,32,Community transmission,281191.0
Papua New Guinea,1741,21,Community transmission,273905.0
Saint Vincent and the Grenadines,1663,8,Community transmission,219844.0
Saint Martin,1581,12,Community transmission,198643.0
Cambodia,1124,0,Sporadic cases,183774.0
Bhutan,868,1,Sporadic cases,174140.0
Antigua and Barbuda,862,22,Clusters of cases,169031.0
Guernsey,821,14,Community transmission,164211.0
Isle of Man,757,25,No cases,119760.0
Other,745,13,Not applicable,115231.0
Bermuda,724,12,Sporadic cases,112614.0
Saint Barthélemy,671,0,Clusters of cases,111002.0
Faroe Islands,660,1,Sporadic cases,106845.0
Mauritius,641,10,Sporadic cases,105901.0
Bonaire,538,5,Community transmission,104398.0
United Republic of Tanzania,509,21,Pending,98453.0
Cayman Islands,451,2,Sporadic cases,98069.0
Brunei Darussalam,191,3,Sporadic cases,85112.0
British Virgin Islands,154,1,Clusters of cases,77287.0
Dominica,151,0,Clusters of cases,72017.0
Grenada,151,1,Sporadic cases,65854.0
Northern Mariana Islands (Commonwealth of the),146,2,Pending,62237.0
Timor-Leste,142,0,Clusters of cases,59259.0
New Caledonia,70,0,Sporadic cases,57619.0
Fiji,66,2,Sporadic cases,56787.0
Wallis and Futuna,64,0,Sporadic cases,55169.0
Falkland Islands (Malvinas),51,0,No cases,53264.0
Lao People's Democratic Republic,47,0,Sporadic cases,48896.0
Saint Kitts and Nevis,41,0,Sporadic cases,42960.0
Greenland,31,0,No cases,39290.0
Holy See,26,0,Sporadic cases,38806.0
Saint Pierre and Miquelon,24,0,No cases,38778.0
Montserrat,20,1,Sporadic cases,38147.0
Sint Eustatius,20,0,No cases,33944.0
Anguilla,18,0,Sporadic cases,33689.0
Solomon Islands,18,0,No cases,30266.0
Saba,6,0,No cases,26265.0
Marshall Islands,4,0,No cases,18109.0
Samoa,4,0,No cases,17567.0
Vanuatu,3,0,No cases,15026.0
American Samoa,0,0,No cases,11817.0
Cook Islands,0,0,No cases,11203.0
Democratic People's Republic of Korea,0,0,No cases,10836.0
Kiribati,0,0,No cases,9882.0
Micronesia (Federated States of),0,0,No cases,6080.0
Nauru,0,0,No cases,5789.0
Niue,0,0,No cases,4993.0
Palau,0,0,No cases,3497.0
Pitcairn Islands,0,0,No cases,1628.0
Tokelau,0,0,No cases,1360.0
Tonga,0,0,No cases,801.0
Turkmenistan,0,0,No cases,
Tuvalu,0,0,No cases,
